cluster_id,rank,token,score
0,1,dating,0.06491486
0,2,how,0.04563674
0,3,what,0.04178144
0,4,hey,0.04031623
0,5,who,0.02946043
0,6,whats,0.02890318
0,7,good,0.02839168
0,8,hi,0.02436934
0,9,ll,0.02404475
0,10,let,0.0237782
0,11,man,0.0224654
0,12,going,0.02130626
0,13,day,0.02119406
0,14,hello,0.01969525
0,15,him,0.019531
0,16,about,0.01932544
0,17,girl,0.01931371
0,18,cannot,0.01925543
0,19,get,0.01716218
0,20,evening,0.01711391
1,1,开票,0.03210804
1,2,登记,0.0292018
1,3,通知,0.02538631
1,4,需要,0.02468298
1,5,发票,0.02438857
1,6,邮箱,0.02374978
1,7,手机,0.02373927
1,8,服务,0.02314624
1,9,备案,0.02179837
1,10,提供,0.02100814
1,11,电子,0.02064158
1,12,sz,0.01965896
1,13,点击,0.01878982
1,14,刘琴,0.01849301
1,15,处理,0.01835273
1,16,sci,0.0182753
1,17,增值,0.01816637
1,18,离职,0.01771266
1,19,认证,0.01751704
1,20,及时,0.01750876
2,1,出售,0.12502862
2,2,详情,0.09572145
2,3,网盘,0.08678481
2,4,av,0.08354332
2,5,罗莉,0.08145128
2,6,国产,0.08045253
2,7,私聊,0.07916567
2,8,城人,0.06554324
2,9,资源,0.06187184
2,10,韩无马,0.06069031
2,11,高清,0.05067018
2,12,无码,0.0458721
2,13,出兽,0.04475817
2,14,种类,0.04431232
2,15,齐全,0.04360531
2,16,九店,0.03802901
2,17,高质量,0.03562091
2,18,小店,0.03475097
2,19,少妇,0.03310753
2,20,成人,0.03281273
3,1,开发票,0.27884776
3,2,普通,0.15783756
3,3,专用发票,0.13766713
3,4,咨询,0.09112238
3,5,经理,0.07785153
3,6,发票,0.07727013
3,7,普通发票,0.06533606
3,8,kopie,0.05471666
3,9,代开,0.04974096
3,10,请加,0.04719627
3,11,李经理,0.04095785
3,12,星期一,0.03959642
3,13,小姐,0.0394181
3,14,李小姐,0.03555538
3,15,dieses,0.03172523
3,16,marokko,0.03165705
3,17,moudden,0.03165705
3,18,folgenden,0.03165705
3,19,dxjxvtl,0.03165705
3,20,transporte,0.03165705
4,1,附图,0.02164547
4,2,journal,0.01961598
4,3,报消,0.01929758
4,4,材料费,0.01836444
4,5,广告费,0.01830788
4,6,设计费,0.01825217
4,7,培训费,0.01794959
4,8,mail,0.01792639
4,9,劳务费,0.01790087
4,10,等等,0.01780537
4,11,服务费,0.01776632
4,12,research,0.01755098
4,13,account,0.01755012
4,14,付款,0.01692483
4,15,验证,0.01666213
4,16,click,0.01506682
4,17,now,0.01497403
4,18,profile,0.01491907
4,19,conference,0.01437788
4,20,international,0.01365897
